mmsi,vessel_id,vessel_name,trip_id,trip_start,trip_end,trip_start_anchorage_name,trip_end_anchorage_name,trip_start_visit_id,trip_end_visit_id
710002450,f08951e60-01a2-3ee0-d5dc-36b6ed2b9a62,客轮_8744,710002450-f08951e60-01a2-3ee0-d5dc-36b6ed2b9a62-0193ff192fc8,2024-12-25 18:34:21 UTC,2024-12-27 18:43:38 UTC,停泊区_南区_67,装卸区_西区_91,396539ce3006542d5adfd7de75b64c41,2d7478749c72626ecdb387a394ac14ae
710002450,f08951e60-01a2-3ee0-d5dc-36b6ed2b9a62,客轮_8744,710002450-f08951e60-01a2-3ee0-d5dc-36b6ed2b9a62-0193ea02b7f8,2024-12-21 16:17:47 UTC,2024-12-22 11:34:09 UTC,装卸区_老区_06,装卸区_西区_91,8e04533b40e793417dbacaeb923654d5,ab83f03c34f58d4e0c6f8e72849ba686
710001926,71c60fc5a-a455-7311-d8fb-884d731f809e,渔船_4766,710001926-71c60fc5a-a455-7311-d8fb-884d731f809e-0193c9b33fe0,2024-12-15 09:43:08 UTC,2024-12-16 01:22:43 UTC,港口_新区_11,锚地_西区_56,adba134b4c6c046777a0133e37030c7a,31eb0ef84609f5c7369dbdfb3bd35950
710005280,58f0384ea-affa-bd38-6ca3-448f9982b913,拖船_5779,710005280-58f0384ea-affa-bd38-6ca3-448f9982b913-01940bc08550,2024-12-28 05:32:34 UTC,2024-12-29 05:43:03 UTC,码头区_老区_62,码头区_老区_62,45a5e46f69bc10ed0b9878ad10631964,3478865f893f1081a1007dd5f0966b58
710005280,58f0384ea-affa-bd38-6ca3-448f9982b913,拖船_5779,710005280-58f0384ea-affa-bd38-6ca3-448f9982b913-0193ed235118,2024-12-22 06:52:15 UTC,2024-12-22 07:59:30 UTC,码头区_老区_62,码头区_老区_62,4cef5103fef78231903e5d5916221047,5a2475265969d0d611de4d5df6a290c0
710025850,9fe77afa5-51f9-9b5c-8396-6542b8b0a5ee,拖船_4776,710025850-9fe77afa5-51f9-9b5c-8396-6542b8b0a5ee-0193e238af50,2024-12-20 03:59:46 UTC,2024-12-20 10:00:27 UTC,码头区_老区_62,码头区_老区_62,9a527e77c768d77e01eceed2957b97ef,fe0e37155399368ea1894cb5a8bf523d
636021938,9f4453f99-9392-4f59-bbe4-c7988e818617,渔船_2103,636021938-9f4453f99-9392-4f59-bbe4-c7988e818617-0193efff4400,2024-12-22 20:11:44 UTC,2024-12-23 11:29:15 UTC,泊位_港区_96,码头区_老区_62,78c602734a86de883b76422dff1ff6e7,4c49b43f694842c9efe3d8bab0dac494
710033580,ca833c008-83b1-4462-a0d7-43d8849f6d78,集装箱船_3748,710033580-ca833c008-83b1-4462-a0d7-43d8849f6d78-01938a7d5d60,2024-12-03 03:08:12 UTC,2024-12-03 22:44:16 UTC,港口_新区_52,码头区_老区_62,3a7c7640c77e06cfae12b65e732121f7,4191fa04559cac5816a7ba507cb1142c
710021570,50c8c3bf8-8454-173b-459e-d7385c712fc6,货轮_0020,710021570-50c8c3bf8-8454-173b-459e-d7385c712fc6-01937fffd160,2024-12-01 02:14:52 UTC,2024-12-01 16:26:31 UTC,停泊区_南区_67,码头区_老区_34,13ffc7e5647b1b6fcae6f0e143e98fa3,3c16b25d269745085df1ec6a31fa9879
710010160,a8c43fc2b-be74-47ff-3480-f4b0c67dcb7d,客轮_2335,710010160-a8c43fc2b-be74-47ff-3480-f4b0c67dcb7d-019367258360,2024-11-26 06:25:32 UTC,2024-12-03 12:20:36 UTC,港区_新区_48,锚地_新区_29,fecda81a0164f15e220867d617747426,7e707691085bba7a5f5105189a6452b1
